Iteration	AverageCost	StdCost	MinimumCost	MaximumCost	AverageReturn	StdReturn	MinimumReturn	MaximumReturn
0	-505.274855182	73.6889401572	-597.103112156	-401.963784914	485.773106307	32.5547323402	436.953718604	557.781879957
1	-1084.65265566	64.2611299816	-1160.3958279	-945.530591281	921.573936135	37.9332121189	846.465913451	965.854470484
2	-1380.6713396	54.5473192756	-1449.1742935	-1279.94448916	1230.95618674	42.9587262012	1168.19915389	1301.57504667
3	-1417.61006748	27.9447967344	-1452.63303161	-1378.61862081	1240.6336634	30.3436991637	1185.31917154	1287.07787411
4	-1529.10107028	58.787196169	-1621.78828435	-1422.63038527	1340.664968	51.178758459	1230.05142278	1403.2573805
5	-1426.31478008	58.0169797512	-1511.41213332	-1351.79584708	1239.76779855	48.2618719246	1173.93949642	1316.74807767
6	-1505.7842671	69.8607376908	-1648.11410917	-1378.00074801	1328.60033589	62.3363165089	1207.13364488	1429.67887186
7	-1514.80496575	54.9931840326	-1591.95794234	-1438.47115924	1341.37690531	42.0308132466	1258.87771262	1396.47388302
8	-1550.59051128	61.1256678269	-1623.56461253	-1434.00653819	1375.9276502	48.966883108	1307.09682531	1451.00057907
9	-1572.82017708	67.5087590518	-1709.9224674	-1443.41319309	1377.60434495	67.270049667	1243.98118345	1522.50303056
